Var1,Var2
45.10225433,-68.65976367
45.10225433,-68.65976367
45.10225433,-68.65976367
45.10222467,-68.65980083
45.10222467,-68.65980083
45.10222467,-68.65980083
45.10222467,-68.65980083
45.10222467,-68.65980083
45.10222467,-68.65980083
45.10222467,-68.65980083
45.10222467,-68.65980083
45.10222467,-68.65980083
45.10222467,-68.65980083
45.10222467,-68.65980083
45.10222467,-68.65980083
45.10222467,-68.65980083
45.10222467,-68.65980083
45.10222467,-68.65980083
45.10222467,-68.65980083
45.10222467,-68.65980083
45.10222467,-68.65980083
45.10222467,-68.65980083
45.10222467,-68.65980083
45.10222467,-68.65980083
45.10222467,-68.65980083
45.10222467,-68.65980083
45.10222467,-68.65980083
45.10222467,-68.65980083
45.10220567,-68.65982617
45.10220567,-68.65982617
45.10220567,-68.65982617
45.10220567,-68.65982617
45.10220567,-68.65982617
45.10220567,-68.65982617
45.10220567,-68.65982617
45.10220567,-68.65982617
45.10220567,-68.65982617
45.10220567,-68.65982617
45.10220567,-68.65982617
45.10220567,-68.65982617
45.10220567,-68.65982617
45.10220567,-68.65982617
45.10220567,-68.65982617
45.10220567,-68.65982617
45.10220567,-68.65982617
45.10220567,-68.65982617
45.10220567,-68.65982617
45.10220567,-68.65982617
45.10220567,-68.65982617
45.10220567,-68.65982617
45.10220567,-68.65982617
45.10220567,-68.65982617
45.10220567,-68.65982617
45.10218567,-68.65985183
45.10218567,-68.65985183
45.10218567,-68.65985183
45.10218567,-68.65985183
45.10218567,-68.65985183
45.10218567,-68.65985183
45.10218567,-68.65985183
45.10218567,-68.65985183
45.10218567,-68.65985183
45.10218567,-68.65985183
45.10218567,-68.65985183
45.10218567,-68.65985183
45.10218567,-68.65985183
45.10218567,-68.65985183
45.10218567,-68.65985183
45.10218567,-68.65985183
45.10218567,-68.65985183
45.10218567,-68.65985183
45.10218567,-68.65985183
45.10218567,-68.65985183
45.10218567,-68.65985183
45.10218567,-68.65985183
45.10218567,-68.65985183
45.10218567,-68.65985183
45.10218567,-68.65985183
45.102157,-68.6598895
